€174,500 	"<a _ngcontent-c61="""" class=""PropertyListingCard__Address"" href=""/residential/brochure/54-dunbeag-castlebar-mayo/4336007"" uisref=""brochure""> 54 Dunbeag, Castlebar, Mayo</a>"
€169,000 	"<a _ngcontent-c61="""" class=""PropertyListingCard__Address"" href=""/residential/brochure/74-lakeview-castlebar-mayo/4359054"" uisref=""brochure""> 74 Lakeview, Castlebar, Mayo</a>"
€319,000 	"<a _ngcontent-c61="""" class=""PropertyListingCard__Address"" href=""/residential/brochure/buckfield-kilmeena-westport-co-mayo/4381885"" uisref=""brochure""> Buckfield, Kilmeena, Westport, Co Mayo</a>"
€220,000 	"<a _ngcontent-c61="""" class=""PropertyListingCard__Address"" href=""/residential/brochure/dillon-terrace-ballina-co-mayo-f26-c3h9/4381858"" uisref=""brochure""> Dillon Terrace, Ballina, Co Mayo, F26 C3H9</a>"
€172,000 	"<a _ngcontent-c61="""" class=""PropertyListingCard__Address"" href=""/residential/brochure/knockadine-crossmolina-mayo/4381791"" uisref=""brochure""> Knockadine, Crossmolina, Mayo</a>"
€155,000 	"<a _ngcontent-c61="""" class=""PropertyListingCard__Address"" href=""/residential/brochure/flannagans-house-kilsallagh-westport-mayo/4381724"" uisref=""brochure""> Flannagans House, Kilsallagh, Westport, Mayo</a>"
€299,000 	"<a _ngcontent-c61="""" class=""PropertyListingCard__Address"" href=""/residential/brochure/riverbank-rosbeg-westport-mayo/4381705"" uisref=""brochure""> Riverbank, Rosbeg, Westport, Mayo</a>"
€165,000 	"<a _ngcontent-c61="""" class=""PropertyListingCard__Address"" href=""/residential/brochure/no-20-fal-fadda-ballyvary-castlebar-mayo/4381603"" uisref=""brochure""> No. 20 Fal Fadda, Ballyvary , Castlebar, Mayo</a>"
€625,000 	"<a _ngcontent-c61="""" class=""PropertyListingCard__Address"" href=""/residential/brochure/the-loop-scenic-rd-tavanaghmore-foxford-mayo/4381245"" uisref=""brochure""> The Loop, Scenic Rd, Tavanaghmore, Foxford, Mayo</a>"
€135,000 	"<a _ngcontent-c61="""" class=""PropertyListingCard__Address"" href=""/residential/brochure/moy-heights-ballina-mayo/4381231"" uisref=""brochure""> Moy Heights, Ballina, Mayo</a>"
AMV €110,000 	"<a _ngcontent-c61="""" class=""PropertyListingCard__Address"" href=""/residential/brochure/2-rathkelly-close-ballinrobe-mayo/4380886"" uisref=""brochure""> 2 Rathkelly Close,, Ballinrobe, Mayo</a>"
€185,000 	"<a _ngcontent-c61="""" class=""PropertyListingCard__Address"" href=""/residential/brochure/112-harbour-mill-westport-mayo/4380890"" uisref=""brochure""> 112 Harbour Mill, Westport, Mayo</a>"
€135,000 	"<a _ngcontent-c61="""" class=""PropertyListingCard__Address"" href=""/residential/brochure/7-riverside-grange-ballina-mayo/4380818"" uisref=""brochure""> 7 Riverside Grange, Ballina, Mayo</a>"
€289,000 	"<a _ngcontent-c61="""" class=""PropertyListingCard__Address"" href=""/residential/brochure/monamore-westport-mayo/4380802"" uisref=""brochure""> Monamore, Westport, Mayo</a>"
AMV €110,000 	"<a _ngcontent-c61="""" class=""PropertyListingCard__Address"" href=""/residential/brochure/2-rathkelly-close-creagh-road-ballinrobe-mayo/4377879"" uisref=""brochure""> 2 Rathkelly Close, Creagh Road, Ballinrobe, Mayo</a>"
€309,000 	"<a _ngcontent-c61="""" class=""PropertyListingCard__Address"" href=""/residential/brochure/monamore-westport-mayo/4380791"" uisref=""brochure""> Monamore, Westport, Mayo</a>"
€80,000 	"<a _ngcontent-c61="""" class=""PropertyListingCard__Address"" href=""/residential/brochure/lisnaponra-logaphuill-castlebar-mayo/4380286"" uisref=""brochure""> Lisnaponra, Logaphuill , Castlebar, Mayo</a>"
€35,000 	"<a _ngcontent-c61="""" class=""PropertyListingCard__Address"" href=""/residential/brochure/sonvolaun-kilmovee-mayo/4380488"" uisref=""brochure""> Sonvolaun, Kilmovee, Mayo</a>"
€185,000 	"<a _ngcontent-c61="""" class=""PropertyListingCard__Address"" href=""/residential/brochure/97-new-street-ballinrobe-mayo/4380445"" uisref=""brochure""> 97 New Street, Ballinrobe, Mayo</a>"
€420,000 	"<a _ngcontent-c61="""" class=""PropertyListingCard__Address"" href=""/residential/brochure/hawthorn-avenue-castlebar-f23-cv91-mayo/4380391"" uisref=""brochure""> Hawthorn Avenue, Castlebar, F23 CV91, Mayo</a>"
